term	translation
recurs pentru omisiune	acção por omissão
recurs pentru omisiunea de a îndeplini o obligație	acção por incumprimento
recurs pentru stabilirea responsabilității administrative	recurso de responsabilidade administrativa
recurs pentru stabilirea responsabilității ce	acção por responsabilidade ce
recurs în anulare	recurso de anulação
recurs în anularea unei decizii a ce	recurso de anulação ce
recurs în contencios administrativ	recurso contencioso administrativo
recurs în contencios comunitar	recurso contencioso comunitário
recursivitate	recursividade \ recursão \ recursividade
recuzant	recusancy
recuzare	recusa
recviem	réquiem \ requiem \ réquiem
recădere	recaída
red amick	red amick
red bull	red bull
red bull racing	red bull racing
red hat	red hat
red hat linux	red hat linux
red hot chili peppers	red hot chili peppers
reda	devolver \ reproduzir \ executar
reda mansour	reda mansour
redactare	edição
redactarea legilor	redacção legislativa
redactor	editor
redactor-șef	chefe de reportagem \ chefe de reportagem
redange	redange
redare	reprodução \ reproduzir \ reproduzir \ executar
redare adecvată pe display	renderização
redare anunţ înregistrat	executar comunicado gravado \ reproduzir mensagem gravada
redare dinamică	composição dinâmica \ renderização fina
redare la prima rulare	experiência de primeira execução \ tela de apresentação
redare pe partea client	composição do lado do cliente \ renderização do lado do cliente
redare în flux	streaming \ transmissão em fluxo
redefini	redefinir
redenumire	renomear \ mudar o nome
redenumire grup	mudar o nome do grupo \ renomear grupo
redhibiţiune	redibição
redirectare	redirecionamento
redirectare apeluri	encaminhamento de chamada \ reencaminhamento de chamadas
redirectare pe baza locaţiei	encaminhamento com base no local \ reencaminhamento baseado na localização
redirecţionare	redirecionar \ tocar
redirecționa	reencaminhar \ encaminhar
redirecționare apel	encaminhamento de chamadas \ reencaminhamento de chamadas
redirecționarea producției	reconversão da produção
redirijare foldere	redirecionamento de pasta \ redirecionamento de pastas
redistribui	redistribuir
redistribuirea veniturilor	redistribuição do rendimento
redon	redon
redox	reação redox
redresare economică	retoma económica
redresor	circuito retificador \ retificador
reduce	reduzir \ diminuir \ encolher
reducere	desconto \ redução \ diminuição
reducere de preț	abatimento \ baixa de preços \ desconto
reducere eşantion	reduzir a resolução \ subamostrar
reducerea costurilor de producție	economia de escala
reducerea datoriilor	redução da dívida
reducerea emisiilor de gaze cu efect de seră	redução das emissões de gases
reducerea forțelor militare	redução de forças
reducerea locurilor de muncă	supressão de posto de trabalho
reducerea pedepsei	diminuição de pena
reducerea salariilor	redução dos salários
reducerea tarifelor	redução pautal
reducerea taxelor de export	isenção de imposições nas exportações
reducerea timpului de lucru	redução do tempo de trabalho
reducționism științific	reducionismo
redus	reduzido \ escasso \ insuficiente
redută	reduto \ reduto
reescontare	redesconto
reevaluare monetară	revalorização
reexport	reexportação
reface	refazer \ fase de rollforward
refacere vagin	vaginoplastia
refacere în urma unei căderi	recuperação de falhas de sistema \ recuperação de pane
refactorizare de cod	refatoração
refer	refer
referat	relatório \ relato
referendum	referendo \ referendum \ consulta popular \ referendo
referi	referir \ aludir
referinţe structurate	referências estruturadas
referinţă absolută	referência absoluta
referinţă circulară	referência circular
referinţă hipertext	referência de hipertexto
referinţă web	referência web \ referência na web
referință	referência
reflectare	reflexão \ reflexo \ imagem
reflectare driver	reflexão de controlador \ reflexão de driver
reflectivitate	reflectividade
reflector	refletor
reflecție	reflexão
reflex	reflexo \ reflexo
reflexia luminii	reflexão \ reflexão
reflexie	reflexão
reflexiv	reflexivo
reflux	refluxo \ vazante
reforma	reformar \ reforma \ melhorar
reforma politicii agricole comune	reforma da pac
reforma protestantă	reforma protestante
reforma terenurilor	reforma fundiária
reforma învățământului	reforma do ensino
reformare catalitică	reforma catalítica
reformă	reforma \ inovação
reformă administrativă	reforma administrativa
reformă agrară	reforma agrária \ reforma agrária
reformă economică	reforma económica
reformă electorală	reforma eleitoral
reformă fiscală	reforma fiscal
reformă instituțională	reforma institucional
reformă judiciară	reforma judiciária
reformă politică	reforma política
refracta	refratar
refractar	avesso
refractometru	refratómetro \ refratômetro
refracție	refração \ refração
refracție dublă	birrefringência \ birrefringência
refren	refrão \ refrão
refrigera	refrigerar
refrigerare	refrigeração
refugiat	refugiado \ refugiado \ asilado
refugiați	refugiado
refugiați politic	refugiado político
refugiu	refúgio \ porto
refulator	soprador de folhas
refuta	refutar
refuz	recusa \ negação
refuza	rejeitar \ recusar
refuzarea ofertei pentru licitație	recusa de oferta
refuzarea vânzării	recusa de venda
refuzul tratamentului medical	testamento vital
regal	real
regalitate	realeza
regală	real
regat	reino
regatul arabiei saudite	reino da arábia saudita
regatul bahrain	reino do bahrein
regatul belgiei	reino da bélgica
regatul bhutan	reino do butão \ reino de butão
regatul cambodgiei	reino de camboja \ reino do camboja
regatul danemarcei	reino da dinamarca
regatul essex	reino de essex
regatul haşemit al iordaniei	reino hachemita da jordânia
regatul ierusalimului	reino latino de jerusalém
regatul italiei	reino de itália
regatul iugoslaviei	reino da iugoslávia
regatul jagiellonilor	reino da polônia
regatul lesotho	reino de lesoto \ reino do lesotho \ reino do lesoto
regatul norvegiei	reino da noruega
regatul roman	lista de reis de roma
regatul româniei	reino da romênia
regatul sardiniei	reino de sardenha
regatul spaniei	reino da espanha \ reino de espanha
regatul suediei	reino da suécia
regatul sussex	reino de sussex
regatul swaziland	reino da suazilândia \ reino de suazilândia
regatul thailandei	reino da tailândia
regatul ungariei	reino da hungria
regatul unit	reino unido \ reino unido da grã-bretanha e irlanda do norte
regatul unit al marii britanii şi irlandei de nord	reino unido \ reino unido da grã-bretanha e irlanda do norte
regatul unit al marii britanii și al irlandei de nord	reino unido \ reino unido da grã-bretanha e irlanda do norte
regatul țărilor de jos	reino dos países baixos \ reino da holanda
rege	rei \ governante \ rei (xadrez)
rege animalelor	rei dos animais
rege la şah	rei
regele artur	rei artur
regele maimuţă	monkey king
regele româniei	lista de reis da romênia
regele saman	shaman king
regele scorpion	rei escorpião
regele soare	rei-sol
regen	regen
regensburg	ratisbona \ regensburg \ ratisbona
regent	regente
regente feijó	regente feijó
regență	regência \ regência
reggae	reggae \ reggae
reggaeton	reggaeton
reggio calabria	reggio di calabria
reggio nell’emilia	reggio emilia
reghin	reghin
regicid	regicídio
regierungsbezirk	regierungsbezirk
regii portugaliei	lista de reis de portugal
regim	regime
regim autoritar	regime autoritário
regim de exploatare agricolă	regime de exploração agrícola
regim de plată unică	regime de pagamento único
regim militar	regime militar
regim politic	regime político
regim prezidențial	regime presidencial
regiment	regimento \ regimento
regiment de infanterie	infantaria
regimul alimentar în funcție de grupa sanguină	dieta sanguínea
regimul de la vichy	frança de vichy
regina	regina
regina africană	the african queen
reginópolis	reginópolis
regină	rainha \ dama \ abelha-mestra \ rainha
regină consoartă	rainha consorte
regiomontanus	johannes müller von königsberg
regionalism	regionalismo
regionalizare	regionalização
regionalizarea comerțului	regionalização das trocas
registro	registro
registru	registrador \ registro \ registo \ registo (música)
registru de bord	diário de bordo \ vôo
registru de limbă	registro
registru de procesor	registrador
registru principal	canhoto
registrul cartea mare	razão \ razão
registrul mare	bloco \ canhoto
registry	registo \ registro
regiune	região \ terra \ plaga
regiune agricolă	região agrícola
regiune autonomă	região autónoma
regiune de decupare	região de clipping \ área de recorte
regiune de dezvoltare	região de desenvolvimento
regiune defilantă	região de deslocamento de ecrã \ área de rolagem
regiune dependentă de pescuit	região dependente da pesca
regiune economică	região económica
regiune eligibilă	região elegível
regiune europeană	região europeia
regiune insulară	região insular
regiune istorică	região histórica
regiune litorală	região litoral
regiune montană	região montanhosa
regiune periferică	região periférica
regiune polară	região polar
regiune prioritară	região prioritária
regiune rurală	região rural
regiunea alpină	região alpina
regiunea amur	óblast de amur
regiunea arhanghelsk	óblast de arkhangelsk
regiunea astrahan	oblast de astracã
regiunea autonomă evreiască	óblast autônomo judaico
regiunea banská bystrica	região de banská bystrica \ banská bystrica
regiunea belgorod	oblast de belgorod
regiunea blagoevgrad	região de blagoevgrad \ blagoevgrad
regiunea boemia centrală	boêmia central
regiunea boemia de sud	boêmia do sul
regiunea bratislava	região de bratislava \ bratislava
regiunea briansk	óblast de briansk
regiunea bruxelles	região de bruxelas-capital
regiunea burgas	região de burgas \ burgas
regiunea capitalei bruxelles	região de bruxelas-capital \ região de bruxelas-capital
regiunea cargeali	região de kardzhali
regiunea carpiană	punho
regiunea celiabinsk	oblast de tcheliabinsk
regiunea cernăuți	chernivtsi
regiunea cita	oblast de tchita
regiunea districtului sofia	região do distrito de sófia
regiunea dnipropetrovsk	dnipropetrovsk
regiunea dobrici	região de dobrich \ dobrich
regiunea donețk	donetsk
regiunea gabrovo	região de gabrovo \ gabrovo
regiunea hascovo	região de haskovo
regiunea haskovo	khaskovo
regiunea hovedstaden	região da capital
regiunea hradec králové	hradec králové
regiunea iambol	região de yambol \ yambol
regiunea irkuțk	oblast de irkutsk
regiunea ivano-frankovsk	ivano-frankivsk
regiunea ivanovo	oblast de ivanovo
regiunea kaliningrad	óblast de kaliningrado
regiunea kamceatka	oblast de kamtchatka
regiunea karlovy vary	karlovy vary
regiunea kemerovo	oblast de kemerovo
regiunea kirov	oblast de kirov
regiunea kiustendil	região de kyustendil \ kyustendil
regiunea kostroma	oblast de kostroma
regiunea košice	região de košice \ košice
regiunea kurgan	oblast de kurgan
regiunea kursk	oblast de kursk
regiunea kârgeali	kurdzhali
regiunea leningrad	óblast de leningrado
regiunea liberec	liberec
regiunea lipețk	oblast de lipetsk
regiunea loarei	pays de la loire
regiunea loveci	região de lovech \ lovech
regiunea magadan	oblast de magadan
regiunea marche	marche
regiunea mediterană a ue	região mediterrânica ce
regiunea midtjylland	jutlândia central
regiunea montana	região de montana \ montana
regiunea moravia de sud	morávia do sul
regiunea moravia-silezia	morávia-silésia
regiunea moscova	óblast de moscou
regiunea municipalității sofia	região da cidade de sófia
regiunea murcia	região de múrcia
regiunea murmansk	oblast de murmansk
regiunea nijni novgorod	óblast de níjni novgorod
regiunea nitra	região de nitra \ nitra
regiunea nordjylland	jutlândia do norte
regiunea novgorod	oblast de novgorod
regiunea novosibirsk	oblast de novosibirsk
regiunea odessa	odessa
regiunea olomouc	olomouc
regiunea omsk	oblast de omsk
regiunea pardubice	pardubice
regiunea pazargik	região de pazardzhik \ pazardzhik
regiunea pernik	região de pernik \ pernik
regiunea plevna	região de pleven \ pleven
regiunea plovdiv	região de plovdiv \ plovdiv
regiunea plzeň	plzeň
regiunea prešov	região de prešov \ prešov
regiunea rajgrad	região de razgrad
regiunea razgrad	razgrad
regiunea rostov	oblast de rostov
regiunea ruse	região de ruse \ ruse
regiunea sahalin	oblast de sacalina
regiunea silistra	região de silistra \ silistra
regiunea sjælland	zelândia
regiunea sliven	região de sliven \ sliven
regiunea smolensk	oblast de smolensk
regiunea smolian	região de smolyan \ smolyan
regiunea sofia	sofia
regiunea stara zagora	região de stara zagora \ stara zagora
regiunea sverdlovsk	óblast de sverdlovsk
regiunea syddanmark	dinamarca do sul
regiunea tiumen	oblast de tiumen
regiunea tomsk	oblast de tomsk
regiunea trenčín	região de trenčín \ trenčín
regiunea trnava	região de trnava \ trnava
regiunea tula	oblast de tula
regiunea tver	oblast de tver
regiunea târgoviște	região de targovishte \ turgovishte
regiunea valonă	região da valónia
regiunea varna	região de varna \ varna
regiunea veliko târnovo	região de veliko tarnovo \ veliko turnovo
regiunea vidin	região de vidin \ vidin
regiunea vrața	região de vratsa \ vratsa
regiunea vysočina	vysočina
regiunea zaporojie	zaporizhia
regiunea zlín	zlín
regiunea žilina	região de žilina \ žilina
regiunea șumen	região de shumen \ shumen
regiuni ale austriei	regiões da áustria
regiuni ale danemarcei	regiões da dinamarca
regiuni ale finlandei	regiões da finlândia
regiuni ale franței	regiões de frança
regiuni ale germaniei	regiões da alemanha
regiuni ale greciei	regiões da grécia
regiuni ale irlandei	regiões da irlanda
regiuni ale italiei	regiões de itália
regiuni ale portugaliei	regiões de portugal
regiuni ale regatului unit	regiões do reino unido
regiuni ale spaniei	regiões de espanha
regiuni ale suediei	regiões da suécia
regiuni ale țărilor de jos	regiões dos países baixos
regiuni defavorizate	região desfavorecida
regiuni din bulgaria	regiões da bulgária
regiuni din estonia	regiões da estónia
regiuni din letonia	regiões da letónia
regiuni din lituania	regiões da lituânia
regiuni din polonia	regiões da polónia
regiuni din republica cehă	regiões da república checa
regiuni din românia	regiões da roménia
regiuni din slovacia	regiões da eslováquia
regiuni din slovenia	regiões da eslovénia
regiuni din ungaria	regiões da hungria
regiuni în japonia	lista de regiões do japão
regiuni și comunități din belgia	regiões e comunidades da bélgica
regiunile angliei	regiões da inglaterra
regiunile finlandei	regiões da finlândia
regiunile franței	regiões da frança
regiunile italiei	regiões da itália
regiunile republicii togoleze	subdivisões do togo
regiunile rusiei	óblasts da rússia
regizor	diretor \ realizador \ diretor de cinema
regizor de film	diretor de cinema \ realizador
regizor de teatru	encenador
regizor de televiziune	diretor de televisão
regizori	diretor
regla	ajustar
reglare fină	ajustar
reglarea proceselor industriale	controle automático
reglementare	regulamento
reglementare judiciară	liquidação judicial
reglementarea investițiilor	regulamentação do investimento
reglementarea pescuitului	regulamentação da pesca
reglementarea prețurilor	regulamentação de preços
reglementarea producției agricole	regulamentação da produção agrícola
reglementarea telecomunicațiilor	regulamentação das telecomunicações
reglementarea transportului	regulamentação dos transportes
reglementarea tranzacțiilor	controlo de transacções
reglementarea vitezei	regulamentação da velocidade
reglementări comerciale	regulamentação comercial
reglementări de trafic	regulamentação da circulação
reglementări privind vânătoarea	regulamentação da caça
reglementări privind închirierea	lei das rendas
reglementări tehnice	regulamentação técnica
regn	reino
regn plantae	plantae
regnitzlosau	regnitzlosau
regnul animal	fauna
regnul animalelor	reino animal
regnul animalia	animalia \ animalia
regnul fungi	fungi \ fungi
regresa	regredir
regresie liniară	regressão linear
regresiv	traseiro \ posterior
regret	pesar \ arrependimento \ compunção
regreta	ter pena
regula	regular \ controlar \ moderar \ temperar
regulament	regulamento
regularizare	regularização
regulat	regular \ habitualmente
regulator	regulador
regulator de timp	temporizador \ timer
regulă	regra \ regulamento \ lei
regăsire automată setări absent de la birou din outlook	automaticamente obter definições de fora de escritório a partir do outlook \ recuperar automaticamente configurações de ausência temporária do outlook
reimport	reimportação
reiniţializare	reiniciar \ redefinir \ repor
reiniţializare soft	reinicialização suave
reiniţializare stare	redefinir status \ repor estado
reinițializa	reinicializar
reinstala	reinstalar
reintegra	reintegrar
reintegrare	reintegração
reintegrare în muncă	reinserção profissional
reintegrare școlară	reinserção escolar
reinterogare	repetir a consulta \ repetir consulta
reisbach	reisbach
reise	reise
relansare economică	relançamento económico
relativ	relativo
relativ la	em relação a
relativism	relativismo \ relativismo
relativitate	relatividade
relativitatea generală	relatividade geral
relativitatea simultaneității	relatividade da simultaneidade
relaxa	relaxar-se \ relaxar \ soltar
relaxare	relaxamento
relaxat	tranquilo
relaţie	relação \ relacionamento \ relação
relaţie cu clienţii	relacionamento com o cliente \ relação com os clientes
relaţie de confidenţialitate	relação de privacidade
relaţie de oportunitate	relacionamento da oportunidade \ relação de oportunidade
relaţie mai mulţi-la-mai mulţi	relação muitos para muitos
relaţie sexuală	relação sexual
relaţie între categorii	relação entre categorias
relaţie între entităţi	relacionamento entre entidades \ relação entre entidades
relaţii sexuale	relação sexual \ sexo \ transa
relația dintre religie și știință	relação entre religião e ciência
relație asimetrică	relação asimétrica
relație bilaterală	relação bilateral
relație binară	relação binária
relație de echivalență	relação de equivalência \ relação de equivalência
relație de ordine	ordem parcial
relație de ordine totală	ordem total
relație de recurență	relação de recorrência
relație de sincronizare	relação de sincronização
relație unu-la-mai mulţi	relação um-para-muitos
relație unu-la-unu	relação um-para-um
relații agro-industriale	relação agricultura-indústria
relații bilaterale	relações bilaterais
relații biserică-stat	relação igreja-estado
relații cercetare-producție	relação indústria-investigação
relații cetățean-autorități	relação administração-administrado
relații comerciale	relações comerciais
relații cu publicul	relações públicas \ relações públicas
relații culturale	relações culturais
relații de muncă	relações do trabalho
relații diplomatice	relações diplomáticas
relații economice	relações económicas
relații est-vest	relações leste-oeste
relații externe ale uniunii europene	relações da união europeia
relații interindustriale	relações interindustriais
relații internaționale	relações internacionais \ relações internacionais
relații interparlamentare	relações interparlamentares
relații interpersonale	diplomacia interpessoal
relații intracomunitare	relações intracomunitárias
relații legislativ-executiv	relação legislativo-executivo
relații monetare	relações monetárias
relații multilaterale	relações multilaterais
relații nord-sud	relações norte-sul
relații sat-oraș	relação cidade-campo
relații umane	relações humanas
relații între cele două state germane	relações interalemãs
relații între instituții	relações interinstitucionais
relații între instituțiile comunității europene	relações interinstitucionais ce
relații între liste	relacionamentos de listas
relații între regiuni și uniunea europeană	relação regiões - união europeia
relații între stat și regiuni	relações estado-região
relații învățământ-producție	relação escola-indústria
relații învățământ-viață profesională	relação escola-vida profissional
relaționat	relacionado
releu	relé
releu electromecanic	relé
releva	realçar
relevant	relevante \ pertinente
relevanță	relevância
relevment	rumo
relicvariu	relicário
relicvă	relíquia
relief	relevo \ baixo-relevo
relief 4 mg	tiocolchicósido
relief creat de apele curgătoare	fluvial
relief litoral	costa
religia-sikh	sikhismo
religie	religião
religie de stat	religião oficial
religie nouă	nova religião
religie primitivă	religião primitiva
religiile de mistere	religião de mistérios
religiozitate	religiosidade
relizane	relizane
relocare	reinstalação
relua	recuperar \ obter
reluare	retomar \ continuar \ recuperar \ etomar
reluare apel în aşteptare	recuperar chamada em espera \ retomar chamada retida
reluare live meeting	replay do live meeting \ repetição do live meeting
reluare în caz de nereuşită	ativação pós-falha \ failover
reluctanță	relutância
remake	refilmagem
remaniere guvernamentală	remodelação ministerial
remarca	notar \ reparar
remarcabil	notável \ memorável \ eminente
remarcă	observação \ declaração \ afirmação
rembrandt van rijn	rembrandt
remchingen	remchingen
remediere neoficială	correção privada
remediere particulară	correção não oficial \ correção privada
remediere rapidă	correcção \ correção \ hotfix
remediere versiune de distribuire generală	correção de distribuição geral
remediu compatibilitate	correção de compatibilidade
remediu imediat	hotfix \ pacote de correções
rememora	rememorar
remf	aristolóquia
remich	remich
remifentanil	remifentanil
remitere	enviar \ submeter
remix	remix \ remix
remocher	rebocador
remorcare navală	sirgagem
remorcher	rebocador \ rebocador
remorcă	reboque automotivo \ reboque automotivo
remote procedure call	chamada de procedimento remoto
remscheid	remscheid
remseck am neckar	remseck
remshalden	remshalden
remunerare egală	igualdade das remunerações
remunerația muncii	remuneração do trabalho
remunerație	remuneração \ salário \ salário
remuscare	remorso
remușcare	remorso \ compunção \ remordimento
ren	rena \ rangífero \ rangífer \ rena
renania	renânia \ renânia
renania de nord-westfalia	renânia do norte-vestfália \ renânia do norte-vestefália \ renânia do norte-westfália
renania-palatinat	renânia-palatinado
renata tebaldi	renata tebaldi
renault	renault
renault clio	renault clio
renault f1	renault f1 team
renault kangoo	renault kangoo
renault laguna	renault laguna
renault modus	renault modus
renault mégane	renault mégane
renault samsung motors	renault samsung motors
renault trafic	renault trafic
renault trucks	renault trucks
renault twingo	renault twingo
renault vel satis	renault vel satis
renaşterea	renascimento
renaștere	renascença
renchen	renchen
rendsburg-eckernförde	rendsburg-eckernförde
renegociere	renegociação
renfe	renfe
renglot	abrunheiro
renglotă	abrunho
renice	renice
reniu	rénio \ rênio
rennertshofen	rennertshofen
rennes	rennes \ rennes
renningen	renningen
reno	reno
renova	renovar
rent-seeking	rent-seeking
rentabilitate	rentabilidade
rentă	renda \ aluguel \ arrendar
renume	reputação \ nome \ fama \ renome \ reputação
renumit	de renome \ famoso \ renomado
renuntare	renúncia
renunţare	abandono
renunța	renunciar \ abandonar
renunțare la modificări	descartar alterações
rené arnoux	rené arnoux
rené descartes	rené descartes
rené guénon	rené guénon
rené magritte	rené magritte
reologie	reologia \ reologia
reorganiza	reorganizar
reorganizare industrială	reorganização industrial
repara	reparar \ consertar
reparare	conserto
reparare la pornire	reparação do arranque \ reparo de inicialização
reparaţie	conserto \ reparação \ arranjo \ com garantia de reparação e assistência
reparcelare	emparcelamento
repartiza	distribuir \ repartir \ dividir
repartizare după sex	distribuição por sexos
repartizare după vârstă	distribuição etária
repartizare pe cap de locuitor	produto per capita
repartizarea ajutoarelor	repartição da ajuda
repartizarea competențelor	divisão de competências
repartizarea finanțării comunitare	distribuição do financiamento comunitário
repartizarea impozitelor	distribuição da carga fiscal
repartizarea mandatelor	repartição dos mandatos
repartizarea muncii	distribuição do trabalho
repartizarea pe circumscripții electorale	divisão em círculos eleitorais
repartizarea pe persoană angajată	produto por pessoa activa
repartizarea profitului	participação dos trabalhadores nos lucros da empresa
repartizarea veniturilor	distribuição do rendimento
repartizarea școlilor	rede escolar
repartiția bogăției	distribuição da riqueza
repatria	repatriar
repatriere	migração de regresso
repatrierea capitalului	repatriação de capitais
repaus	repouso \ descanso \ relaxamento
repaus după inactivitate	suspensão por inatividade \ suspensão por ociosidade
repaus hibrid	suspensão híbrida
repauza	descansar
repede	rápido \ rapidamente \ veloz
repertoar	repertório
repeta	repetir
repetare	repetição
repetat	recorrente
repetiție	repetição
repezitor	acelerador
repictare	redesenhar
replanificarea datoriei publice	consolidação da dívida
replanta	transplantar
replantare	replantação
replica	replicar
replicare	replicação
replică	réplica \ cópia exata \ descrição \ réplica
replică anonimă	réplica anónima \ réplica anônima
replică globală	réplica global
replică locală	réplica local
replică parţială	réplica parcial
repo-commit	repo-commit
repoman	repoman
reporni	reiniciar
repornire flux video	reiniciar esta transmissão de vídeo
repornire soft	reinício a quente \ reinicialização suave
report de credit	transferência de verba
reporta	relatar
reportaj	reportagem \ reportagem
represiune	repressão
reprezenta	representar \ caracterizar \ descrever
reprezentant	representante
reprezentant al serviciului pentru relaţii cu clienţii	representante de suporte ao cliente \ representante do serviço de atendimento ao consumidor
reprezentant de vânzări	representante de comércio
reprezentant sindical	representante sindical
reprezentare	representação \ apresentação \ produção
reprezentare de grup	representação de grupo
reprezentare diplomatică	representação diplomática
reprezentare grafică smartart	elemento gráfico smartart \ gráfico smartart
reprezentare permanentă la uniunea europeană	representação permanente junto da união europeia
reprezentare politică	representação política
reprezentare proporțională	representação proporcional \ representação proporcional \ representação
reprezentarea salariaților	representação do pessoal
reprezentativ	representativo
reproba	reprovar
reproduce	reproduzir \ procriar
reproducere	reprodução \ réplica \ cópia exata \ descrição \ reprodução
reproducere asexuată	reprodução assexuada
reproducere continuă a clusterului	replicação contínua em cluster
reproducere disc	duplicação de disco \ duplicação de discos
reproducere locală continuă	replicação contínua local
reproducere prin stocare şi redirecţionare	replicação de arquivo e reencaminhamento
reproducere sexuată	reprodução sexuada
reproducerea bazei de date	replicação de banco de dados \ replicação de bases de dados
reproductibilitate de măsurare	reprodutibilidade
reproductiv	reprodutivo \ reprodutor
reproductor	reprodutivo \ reprodutor
reproducător autorizat	replicador autorizado
reproducție	reprodução
reprografie	reprografia
reproș	reprimenda \ admoestação \ reproche
reproșa	reprochar \ repreender
repsnapper	repsnapper
repsol ypf	repsol ypf
reptile	réptil \ réptil
reptilă	réptil \ reptil \ répteis \ répteis \ réptil
repubbliche marinare	repúblicas marítimas
republic aviation	republic aviation company
republica	a república
republica africa de sud	república da áfrica do sul
republica albania	república da albânia
republica algeriană democratică și populară	república argelina democrática e popular \ república democrática e popular da argélia
republica altai	altai
republica angola	república de angola
republica arabă egipt	república árabe do egipto \ república árabe do egito \ república arábica do egito
republica arabă siriană	república árabe síria
republica argentina	república argentina
republica armenia	república da arménia \ república da armênia
republica austria	república da áustria
republica azerbaidjan	república do azerbaijão
republica batavă	república da batávia
republica belarus	república de belarus
republica benin	república do benim
republica botswana	república da botsuana \ república de botsuana \ república de botswana \ república do botsuana
republica bulgaria	república da bulgária
republica burundi	república do burundi \ república de burundi
republica capului verde	república de cabo verde \ cabo verde \ cabo verde \ república de cabo verde
republica carelia	carélia
republica cehă	república checa \ república tcheca \ chéquia \ tchéquia
republica centrafricană	república centro-africana
republica chile	república do chile
republica chineză	república da china \ taiwan \ formosa
republica ciad	república do chade
republica cipru	república de chipre \ república do chipre
republica coasta de fildeș	república da costa do marfim
republica congo	república do congo \ congo \ congo-brazzaville
republica cooperativă guyana	república cooperativa da guiana
republica coreea	república da coreia \ república da coréia
republica croația	república da croácia
republica cuba	república de cuba
republica de la weimar	república de weimar
republica democrată congo	república democrática do congo \ congo-kinshasa
republica democrată germania	república democrática alemã
republica democrată germană	alemanha oriental \ república democrática alemã \ alemanha oriental
republica democrată socialistă sri lanka	república democrática socialista do sri lanka
republica dominicană	república dominicana
republica elvețiană	república helvética
republica estonia	república da estónia
republica federală democrată etiopia	república democrática federal da etiópia
republica federală germania	república federal da alemanha
republica federală iugoslavia	república federal da jugoslávia
republica federală nigeria	república federal da nigéria \ república federativa da nigéria
republica federativă a braziliei	república federativa do brasil
republica franceză	república francesa
republica gambia	república da gâmbia
republica ghana	república do gana
republica guineea	república da guiné
republica guineea ecuatorială	república da guiné equatorial
republica iacută	iacútia \ sakha
republica india	república da índia
republica indonezia	república da indonésia
republica irak	república do iraque
republica irlanda	república da irlanda
republica islamică afganistan	república islâmica do afeganistão
republica islamică iran	república islâmica do irã \ república islâmica do irão
republica islamică mauritania	república islâmica da mauritânia
republica islamică pakistan	república islâmica do paquistão
republica islanda	república da islândia
republica italiană	república italiana
republica komi	república autônoma dos komi \ república de komi
republica kosovo	república do kosovo
republica letonia	república da letônia
republica libaneză	república do líbano
republica lituania	república da lituânia
republica macedonia	república da macedónia \ república da macedônia
republica madagascar	república de madagáscar
republica malawi	república de malawi \ república do malaui \ república do malawi
republica malta	república de malta
republica moldova	república da moldávia \ moldávia \ moldávia \ república da moldávia
republica moldova република молдова	moldávia
republica mozambic	república de moçambique
republica nagorno-karabah	república de nagorno-karabakh
republica namibia	república da namíbia
republica niger	república de níger \ república do níger
republica novgorodului	república de novgorod
republica orientală a uruguayului	república oriental do uruguai
republica polonă	república da polónia \ república da polônia
republica populară bangladesh	república popular do bangladesh
republica populară bulgaria	república popular da bulgária
republica populară chineză	república popular da china \ república popular da china
republica populară democratică a coreei	república democrática popular da coreia
republica populară democrată lao	república democrática popular lau \ república democrática popular do laos
republica populară donețk	república popular de donetsk
republica populară luhansk	república popular de lugansk
republica portugheză	república portuguesa
republica romană	república romana
republica san marino	república de san marino \ república de são marino
republica seișele	república das seychelles \ república de seychelles
republica serbia	república da sérvia
republica seychelles	república das seychelles \ república de seychelles
republica slovacă	república eslovaca
republica slovenia	república da eslovénia \ república da eslovênia
republica socialistă federativă iugoslavia	república socialista federal da iugoslávia \ república socialista federativa da iugoslávia \ república socialista federativa da jugoslávia
republica socialistă muncitorească finlandeză	república socialista dos trabalhadores da finlândia
republica socialistă sovietică carelo-finică	rss carelo-finlandesa
republica socialistă vietnam	república socialista do vietname \ república socialista do vietnã
republica socială italiană	república social italiana
republica sovietică federală socialistă rusă	república socialista federada soviética da rússia
republica sovietică federală socialistă transcaucaziană	república socialista federada soviética transcaucasiana
republica sovietică socialistă armenească	república socialista soviética da armênia
republica sovietică socialistă azerbaidjană	república socialista soviética do azerbaijão
republica sovietică socialistă belarusă	república socialista soviética da bielorrússia
republica sovietică socialistă estonă	república socialista soviética da estônia \ rss da estónia \ rss da estônia
republica sovietică socialistă georgiană	república socialista soviética da geórgia
republica sovietică socialistă kazahă	república socialista soviética cazaque
republica sovietică socialistă kirghiză	república socialista soviética quirguiz
republica sovietică socialistă letonă	república socialista soviética da letónia \ rss da letónia \ rss da letônia
republica sovietică socialistă lituaniană	república socialista soviética da lituânia
republica sovietică socialistă tadjikă	república socialista soviética tadjique
republica sovietică socialistă turkmenă	república socialista soviética do turcomenistão
republica sovietică socialistă ucrainiană	república socialista soviética da ucrânia
republica sovietică socialistă uzbekă	república socialista soviética uzbeque
republica sudanului	república do sudão
republica tadjikistan	república do tadjiquistão \ república do tajiquistão
republica tatarstan	república de tartaristão \ tartaristão \ tataristão
republica turcia	república da turquia
republica turcă a ciprului de nord	república turca de chipre do norte \ chipre do norte
